hypothesis,loss_before,loss_after,improvement_pct,survival_frames,floors_cleared,total_kills,score,total_damage,avg_hp,hp_cv,avg_floor_time,kill_interval,kill_cv,near_death_rate,kills_per_floor,damage_interval,equip_upgrades,player_speed,enemy_speed_basic,enemy_speed_fast,enemy_speed_tank,attack_cooldown,arrow_speed,arrow_range,bow_cooldown,chase_range,knockback_strength,iframe_duration,dash_duration,dash_cooldown,dash_speed_mult,basic_hp,fast_hp,tank_hp,ranged_hp,boss_hp_base,boss_hp_per_floor,enemy_contact_damage,player_base_hp,spawn_density
Baseline,0,0,0,9000,9,163,1812,3,0.74,0.23,913.81,55.90,1.15,0.00,17.87,1067.69,6,2.0,0.8,1.2,0.4,20.0,4.0,160.0,15.0,120.0,4.0,30.0,8.0,40.0,4.0,3.0,2.0,8.0,2.0,20.0,2.0,1.0,10.0,1.0
Default,3.25,1.23,61.97,9000,8,102,1181,1,0.66,0.25,992.61,87.66,0.81,0.01,12.22,32.45,0,2.72,0.46,1.49,0.44,15.08,2.27,249.0,22.42,60.0,9.15,19.96,14.80,48.64,8.0,5.13,2.29,13.07,2.02,15.25,3.51,1.0,11.04,0.68
A:ActionDense,4.44,1.20,72.87,9000,11,132,1531,7,0.54,0.27,558.82,52.41,0.81,0.00,11.55,528.06,0,3.76,0.80,3.51,0.10,22.32,5.74,280.08,28.74,60.0,2.04,6.30,12.70,51.05,1.50,3.32,1.32,3.0,3.0,30.14,0.71,1.0,10.30,0.92
B:Survival,36.51,3.57,90.19,8520,5,39,463,4,0.67,0.30,1057.93,176.72,0.82,0.05,7.38,30.17,0,1.06,0.44,3.06,0.80,32.86,3.39,374.63,37.31,60.0,0.50,5.0,8.68,80.0,6.54,4.29,1.0,4.29,4.44,5.0,3.08,1.0,8.68,0.50
C:Speedrun,14.24,2.34,83.56,9000,19,111,1440,0,0.62,0.27,392.33,70.66,0.61,0.00,5.81,0.0,0,4.93,1.56,0.30,0.50,19.98,2.97,373.77,24.49,60.0,4.30,46.66,3.0,28.46,4.68,1.0,2.01,4.89,3.07,20.95,2.30,1.42,18.76,0.50
D:RiskReward,14.53,2.29,84.23,9000,7,93,1043,0,0.49,0.40,1070.53,93.43,0.81,0.06,12.61,0.0,0,3.17,0.63,1.92,0.60,25.43,1.0,296.29,13.54,60.0,1.98,9.30,10.26,51.59,8.0,2.99,2.43,14.21,1.0,14.64,2.43,2.45,3.0,0.76
