hypothesis,loss_before,loss_after,improvement_pct,survival_frames,floors_cleared,total_kills,score,avg_hp,hp_cv,avg_floor_time,kill_interval,kill_cv,near_death_rate,kills_per_floor,damage_interval,equip_upgrades,player_speed,enemy_speed_basic,enemy_speed_fast,enemy_speed_tank,attack_cooldown,arrow_speed,arrow_range,bow_cooldown,chase_range,knockback_strength,iframe_duration,dash_duration,dash_cooldown,dash_speed_mult,basic_hp,fast_hp,tank_hp,ranged_hp,boss_hp_base,boss_hp_per_floor
Baseline,0,0,0,9000,9,163,1812,0.7448,0.2629,885.97,13.34,45.31,0.0000,18.11,454.92,6,2.0,0.8,1.2,0.4,20.0,4.0,160.0,15.0,120.0,4.0,30.0,8.0,40.0,4.0,3.0,2.0,8.0,2.0,20.0,2.0
Default_balanced,3.2568,1.4705,54.85,9000,7,146,1601,0.6988,0.2599,1034.35,15.17,41.95,0.0000,20.86,0.00,7,5.0,0.7233,0.371,0.1896,6.1207,1.0,321.55,13.82,40.0,5.5024,47.69,12.49,10.0,4.0958,1.0,1.5809,6.8865,3.7304,20.77,3.0814
A_Action_dense,4.4435,1.5783,64.48,9000,12,207,2361,0.8338,0.1654,565.02,10.60,42.67,0.0000,17.25,-47.67,5,5.0,1.2381,1.6191,0.2526,23.78,5.8687,400.0,26.75,40.0,2.4968,5.0,5.4391,38.68,1.8561,4.6024,1.1246,5.9557,1.0,5.0,0.6637
B_Survival_horror,36.5143,5.386,85.25,9000,6,105,1167,0.74,0.3001,1439.0,20.64,36.36,0.0000,17.5,0.00,6,2.4904,0.6403,0.3,0.91,6.477,1.0,371.86,21.92,40.0,6.5149,51.04,14.69,54.59,4.162,3.0935,1.5191,3.0,6.2368,23.99,2.1116
C_Speedrun,14.2477,2.5983,81.76,9000,16,265,3018,0.8364,0.2332,526.06,8.47,56.14,0.0000,16.56,0.00,7,5.0,0.8562,1.3227,0.1,5.0,7.9202,322.42,26.72,40.0,6.2556,28.75,10.21,53.83,1.5,1.0,3.1016,3.0,1.0,5.0,1.4044
D_Risk_reward,14.5351,3.4925,75.97,9000,8,144,1603,0.7403,0.3041,1042.31,15.37,41.59,0.0291,18.0,513.5,7,1.9311,1.3292,0.9406,0.1,16.41,3.0526,262.06,16.86,68.58,3.5288,20.24,10.31,59.41,7.8767,5.1031,1.0,7.8893,2.1597,22.06,1.0008
